Item/SKU,UPC,M.A.P,MSRP,NAME,Component 1,Component 2,Component 3,Component 4,Long Description ( OUTSIDE CHANNELS ONLY),Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Bullet 6,Bullet 7,Bullet 8,Bullet 9,Bullet 10,Bullet 11,Bullet 12,Bullet 13,DB Link
2KP-MW24-AWS30,1.95948E+11,"$3,104.91 ","$6,199.95 ","ZLINE Stainless Steel 24"" Built-in Convection Microwave Oven and 30"" Single Wall Oven with Self Clean",MWO-24,AWS-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" Convection Single Wall Oven and 24"" Built-in Convection Microwave Oven Bundle. Experience the beauty of a built-in with a modern design engineered to seamlessly fit within your kitchen’s cabinetry. The ZLINE Single Convection Wall Oven achieves optimal results with several standard and convection cooking modes, including: Standard Bake, Standard Broil, Convection Bake, Convection Roast, and Convection Broil. Powerful and professional convection cooking allows you to rely on precise, even heating for every homemade dish. Experience the MWO-24 Convection Microwave Oven with optimal results for every dish with 11 different power levels, utilizing regular heat, broil, or convection cooking elements. Premium cooking features include multi-stage cooking technology, sensor cooking, express cooking, and multiple auto-defrost settings.The ZLINE Convection Single Wall Oven and Built-in Convection Microwave Oven Bundleships next business day when in stock.","Professional Electric Convection Cooking with multiple modes including: Convection Bake, Convection Roast, and Convection Broil",Warm and Proof Modes for optimal baking results and convenient,Self-Clean technology for an incredibly fast and easy clean up,Delay cleaning feature to ensure the oven begins self-cleaning on your schedule,"Multiple power levels with regular heat, broil, and convection cooking elements","Enjoy sensor-cooking, speed cooking, and multiple auto-defrost settings for enhanced cooking and convenience","Sensor cooking - With sensor cooking, the microwave oven automatically determines the required cooking time for each food item and allows you to cook many of your favorite foods without selecting cooking times or power levels",1 year parts warranty on the wall oven and 2 years parts warranty on the microwave oven.,,,,,,https://www.dropbox.com/sh/nw9hgl0njidem6i/AABtx3c9fApoIu9CPDVGorska?dl=0
2KP-MW24-AWS30BS,1.95948E+11,"$3,509.91 ","$6,999.95 ","ZLINE Black Stainless Steel 24"" Built-in Convection Microwave Oven and 30"" Single Wall Oven with Self Clean",MWO-24-BS,AWS-30-BS,-,-,"Experience Attainable Luxury® with the ZLINE 30"" Black Stainless Steel Convection Single Wall Oven and 24"" Built-in Convection Microwave Oven Bundle. Experience the beauty of a built-in with a modern design engineered to seamlessly fit within your kitchen’s cabinetry. The ZLINE Single Convection Wall Oven achieves optimal results with several standard and convection cooking modes, including: Standard Bake, Standard Broil, Convection Bake, Convection Roast, and Convection Broil. Powerful and professional convection cooking allows you to rely on precise, even heating for every homemade dish. Experience the MWO-24 Convection Microwave Oven with optimal results for every dish with 11 different power levels, utilizing regular heat, broil, or convection cooking elements. Premium cooking features include multi-stage cooking technology, sensor cooking, express cooking, and multiple auto-defrost settings.The ZLINE Convection Single Wall Oven and Built-in Convection Microwave Oven Bundleships next business day when in stock.","Professional Electric Convection Cooking with multiple modes including: Convection Bake, Convection Roast, and Convection Broil",Warm and Proof Modes for optimal baking results and convenient,Self-Clean technology for an incredibly fast and easy clean up,Delay cleaning feature to ensure the oven begins self-cleaning on your schedule,"Multiple power levels with regular heat, broil, and convection cooking elements","Enjoy sensor-cooking, speed cooking, and multiple auto-defrost settings for enhanced cooking and convenience","Sensor cooking - With sensor cooking, the microwave oven automatically determines the required cooking time for each food item and allows you to cook many of your favorite foods without selecting cooking times or power levels",1 year parts warranty on the wall oven and 2 years parts warranty on the microwave oven.,,,,,,
2KP-MW30-AWS30,1.95948E+11,"$3,464.91 ","$6,929.82 ","ZLINE Stainless Steel 30"" Built-in Convection Microwave Oven and 30"" Single Wall Oven with Self Clean",MWO-30,AWS-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" Convection Single Wall Oven and 30"" Built-in Convection Microwave Oven Bundle. Experience the beauty of a built-in with a modern design engineered to seamlessly fit within your kitchen’s cabinetry. The ZLINE Single Convection Wall Oven achieves optimal results with several standard and convection cooking modes, including: Standard Bake, Standard Broil, Convection Bake, Convection Roast, and Convection Broil. Powerful and professional convection cooking allows you to rely on precise, even heating for every homemade dish. Experience the MWO-24 Convection Microwave Oven with optimal results for every dish with 11 different power levels, utilizing regular heat, broil, or convection cooking elements. Premium cooking features include multi-stage cooking technology, sensor cooking, express cooking, and multiple auto-defrost settings.The ZLINE Convection Single Wall Oven and Built-in Convection Microwave Oven Bundleships next business day when in stock.","Professional Electric Convection Cooking with multiple modes including: Convection Bake, Convection Roast, and Convection Broil",Warm and Proof Modes for optimal baking results and convenient,Self-Clean technology for an incredibly fast and easy clean up,Delay cleaning feature to ensure the oven begins self-cleaning on your schedule,"Multiple power levels with regular heat, broil, and convection cooking elements","Enjoy sensor-cooking, speed cooking, and multiple auto-defrost settings for enhanced cooking and convenience","Sensor cooking - With sensor cooking, the microwave oven automatically determines the required cooking time for each food item and allows you to cook many of your favorite foods without selecting cooking times or power levels",1 year parts warranty on the wall oven and 2 years parts warranty on the microwave oven.,,,,,,
2KP-RABGRH30,1.95948E+11,"$2,609.91 ","$5,199.95 ","ZLINE 30"" Kitchen Package with Stainless Steel Dual Fuel Range with Blue Gloss Door and Convertible Vent Range Hood",RA-BG-30,KB-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,,
2KP-RABGRH36,1.95948E+11,"$3,194.91 ","$6,399.95 ","ZLINE 36"" Kitchen Package with Stainless Steel Dual Fuel Range with Blue Gloss Door and Convertible Vent Range Hood",RA-BG-36,KB-36,-,-,"Experience Attainable Luxury® with the ZLINE 36"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,,
2KP-RABGRH48,1.95948E+11,"$5,759.91 ","$11,499.95 ","ZLINE 48"" Kitchen Package with Stainless Steel Dual Fuel Range with Blue Gloss Door and Convertible Vent Range Hood",RA-BG-48,KB-48,-,-,"Experience Attainable Luxury® with the ZLINE 48"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 7 burner gas stove and 4.2/1.8 cu. Ft. electric ovens,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RABLMRH30,1.95948E+11,"$2,744.91 ","$5,499.95 ","ZLINE 30"" Kitchen Package with Stainless Steel Dual Fuel Range with Black Matte Door and Convertible Vent Range Hood",RA-BLM-30,KB-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,,
2KP-RABLMRH36,1.95948E+11,"$3,284.91 ","$6,599.95 ","ZLINE 36"" Kitchen Package with Stainless Steel Dual Fuel Range with Black Matte Door and Convertible Vent Range Hood",RA-BLM-36,KB-36,-,-,"Experience Attainable Luxury® with the ZLINE 36"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,,
2KP-RABLMRH48,1.95948E+11,"$5,849.91 ","$11,699.95 ","ZLINE 48"" Kitchen Package with Stainless Steel Dual Fuel Range with Black Matte Door and Convertible Vent Range Hood",RA-BLM-48,KB-48,-,-,"Experience Attainable Luxury® with the ZLINE 48"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 7 burner gas stove and 4.2/1.8 cu. Ft. electric ovens,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Includes a reversible griddle, with one flat side and one grill side","Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,
2KP-RABMRH30,1.95948E+11,"$2,744.91 ","$5,499.95 ","ZLINE 30"" Kitchen Package with Stainless Steel Dual Fuel Range with Blue Matte Door and Convertible Vent Range Hood",RA-BM-30,KB-30,-,-,"Experience Attainable Luxury® with the ZLINE 30"" Stainless Steel Dual Fuel Professional Range and Range Hood Bundle. With built-to-last quality and modern designs, this combination is a great addition to any kitchen. Enjoy a complete, seamless look for years to come with professional 430 grade stainless steel. Achieve optimal results with cooktop power ranging from 4,200 up to 18,000 BTUs provided with sealed burners, and precise and even heating for every homemade dish with an electric convection oven. With upgraded premium features such as SmoothSlide ball-bearing oven racks, dual lighting, and adjustable legs, this dual fuel range is certain to wow both the chef and guests alike. The range hood’s high-performance, 400 CFM 4-speed motor will provide all the power you need to quietly and efficiently ventilate your stove while cooking. Enjoy modern features, including built-in LED lighting for an illuminated culinary experience and dishwasher-safe stainless steel baffle filters for easy clean-up. This wall mount range hood has a convertible vent, so you can have a luxury range hood whether you need a ducted or ductless option. The ZLINE Dual Fuel Professional Range and Range Hood Bundle ships next business day when in stock.",Achieve optimal cooking performance with a 4 burner gas stove and 4.0 cu. Ft. electric oven,"Handcrafted, high quality Italian burners imported directly from Italy with premium alloy to ensure efficient and clean-burning flames",ZLINE's proprietary stay-put hinges are designed to support the full weight of the oven door and stop at any place,Heavy duty Italian made porcelain 1-piece cook top allows for an easy to clean surface - no crevices that can hold residue,"Convertible range hood - this unit can be externally vented or recirculated (ductless) with charcoal filters (not included, model number CF1) to reduce harmful odors",4-Speed fan control (120/240/320/400 CFM) to choose the appropriate air flow for your cooking situation,Ductwork easily connects to the top of the range hood for external venting,Designed to fit standard (circular) ductwork for simple installation,"Lifetime warranty on range hood motor, 3 year parts warranty on range hood, and a 1 year service and parts warranty on the range",,,,,
